postal_code,name,municipality,prefecture,periphery,type
10556,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10557,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10558,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10559,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10560,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10561,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10562,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10563,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10564,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10671,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10672,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10673,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10674,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10675,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10676,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10677,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10678,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10679,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10680,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10681,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10682,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10683,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11141,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11142,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11143,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11144,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11145,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11146,ΓΑΛΑΤΣΙ,ΓΑΛΑΤΣΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
11147,ΓΑΛΑΤΣΙ,ΓΑΛΑΤΣΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
11251,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11252,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11253,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11254,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11255,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11256,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11257,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11361,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11362,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11363,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11364,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11471,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11472,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11473,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11474,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11475,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11476,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11521,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11522,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11523,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11524,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11525,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11526,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11527,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11528,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11631,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11632,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11633,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11634,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11635,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11636,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11741,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11742,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11743,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11744,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11745,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11851,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11852,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11853,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11854,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
11855,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
12131,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12132,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12133,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12134,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12135,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12136,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12137,ΠΕΡΙΣΤΕΡΙ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12241,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12242,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12243,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12244,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12351,ΑΓΙΑ ΒΑΡΒΑΡΑ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
12461,ΣΚΑΡΑΜΑΓΚΑΣ,ΧΑΪΔΑΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,
12462,ΧΑΙΔΑΡΙ,ΧΑΪΔΑΡΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13121,ΙΛΙΟ,ΙΛΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13122,ΙΛΙΟ,ΙΛΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13123,ΙΛΙΟ,ΙΛΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13231,ΠΕΤΡΟΥΠΟΛΗ,ΠΕΤΡΟΥΠΟΛΗΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13232,ΠΕΤΡΟΥΠΟΛΗ,ΠΕΤΡΟΥΠΟΛΗΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13341,ΑΝΩ ΛΙΟΣΙΑ,ΑΝΩ ΛΙΟΣΙΩΝ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13342,ΑΝΩ ΛΙΟΣΙΑ,ΑΝΩ ΛΙΟΣΙΩΝ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13343,ΑΝΩ ΛΙΟΣΙΑ,ΑΝΩ ΛΙΟΣΙΩΝ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13344,ΑΝΩ ΛΙΟΣΙΑ,ΑΝΩ ΛΙΟΣΙΩΝ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13345,ΦΥΛΗ,ΦΥΛΗΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13351,ΦΥΛΗ,ΦΥΛΗΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13451,ΚΑΜΑΤΕΡΟ,ΚΑΜΑΤΕΡΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13461,ΖΕΦΥΡΙ,ΖΕΦΥΡΙΟΥ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13561,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13562,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13671,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13672,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13673,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13674,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13675,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13676,ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΚΟΙΝΟΤΗΤΑΣ
13677,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13678,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
13679,ΑΧΑΡΝΕΣ,ΑΧΑΡΝΩΝ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14121,ΗΡΑΚΛΕΙΟ,ΗΡΑΚΛΕΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14122,ΗΡΑΚΛΕΙΟ,ΗΡΑΚΛΕΙΟΥ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14123,ΛΥΚΟΒΡΥΣΗ,ΛΥΚΟΒΡΥΣΕΩΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14231,ΝΕΑ ΙΩΝΙΑ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14232,ΝΕΑ ΙΩΝΙΑ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14233,ΝΕΑ ΙΩΝΙΑ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14234,ΝΕΑ ΙΩΝΙΑ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14235,ΝΕΑ ΙΩΝΙΑ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14341,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14343,ΝΕΑ ΧΑΛΚΗΔΩΝΑ,ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14451,ΜΕΤΑΜΟΡΦΩΣΗ,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
14452,ΜΕΤΑΜΟΡΦΩΣΗ,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΔΗΜΟΥ
